Home	Away	Goals_home	Goals_away
Arsenal	Crystal_Palace	2	1
Leicester	Everton	2	2
Man_United	Swansea	1	2
QPR	Hull	0	1
Stoke	Aston_Villa	0	1
West_Brom	Sunderland	2	2
West_Ham	Tottenham	0	1
Liverpool	Southampton	2	1
Newcastle	Man_City	0	2
Burnley	Chelsea	1	3
Aston_Villa	Newcastle	0	0
Chelsea	Leicester	2	0
Crystal_Palace	West_Ham	1	3
Everton	Arsenal	2	2
Southampton	West_Brom	0	0
Swansea	Burnley	1	0
Hull	Stoke	1	1
Sunderland	Man_United	1	1
Tottenham	QPR	4	0
Man_City	Liverpool	3	1
Burnley	Man_United	0	0
Everton	Chelsea	3	6
Man_City	Stoke	0	1
Newcastle	Crystal_Palace	3	3
QPR	Sunderland	1	0
Swansea	West_Brom	3	0
West_Ham	Southampton	1	3
Aston_Villa	Hull	2	1
Leicester	Arsenal	1	1
Tottenham	Liverpool	0	3
Arsenal	Man_City	2	2
Chelsea	Swansea	4	2
Crystal_Palace	Burnley	0	0
Liverpool	Aston_Villa	0	1
Southampton	Newcastle	4	0
Stoke	Leicester	0	1
Sunderland	Tottenham	2	2
West_Brom	Everton	0	2
Man_United	QPR	4	0
Hull	West_Ham	2	2
Aston_Villa	Arsenal	0	3
Burnley	Sunderland	0	0
Newcastle	Hull	2	2
QPR	Stoke	2	2
Swansea	Southampton	0	1
West_Ham	Liverpool	3	1
Everton	Crystal_Palace	2	3
Leicester	Man_United	5	3
Man_City	Chelsea	1	1
Tottenham	West_Brom	0	1
Arsenal	Tottenham	1	1
Chelsea	Aston_Villa	3	0
Crystal_Palace	Leicester	2	0
Hull	Man_City	2	4
Liverpool	Everton	1	1
Man_United	West_Ham	2	1
Southampton	QPR	2	1
Sunderland	Swansea	0	0
West_Brom	Burnley	4	0
Stoke	Newcastle	1	0
Aston_Villa	Man_City	0	2
Hull	Crystal_Palace	2	0
Leicester	Burnley	2	2
Liverpool	West_Brom	2	1
Sunderland	Stoke	3	1
Swansea	Newcastle	2	2
Chelsea	Arsenal	2	0
Man_United	Everton	2	1
Tottenham	Southampton	1	0
West_Ham	QPR	2	0
Arsenal	Hull	2	2
Burnley	West_Ham	1	3
Crystal_Palace	Chelsea	1	2
Everton	Aston_Villa	3	0
Man_City	Tottenham	4	1
Newcastle	Leicester	1	0
Southampton	Sunderland	8	0
QPR	Liverpool	2	3
Stoke	Swansea	2	1
West_Brom	Man_United	2	2
Liverpool	Hull	0	0
Southampton	Stoke	1	0
Sunderland	Arsenal	0	2
Swansea	Leicester	2	0
West_Brom	Crystal_Palace	2	2
West_Ham	Man_City	2	1
Burnley	Everton	1	3
Man_United	Chelsea	1	1
Tottenham	Newcastle	1	2
QPR	Aston_Villa	2	0
Arsenal	Burnley	3	0
Chelsea	QPR	2	1
Everton	Swansea	0	0
Hull	Southampton	0	1
Leicester	West_Brom	0	1
Newcastle	Liverpool	1	0
Stoke	West_Ham	2	2
Aston_Villa	Tottenham	1	2
Man_City	Man_United	1	0
Crystal_Palace	Sunderland	1	3
Burnley	Hull	1	0
Liverpool	Chelsea	1	2
Man_United	Crystal_Palace	1	0
QPR	Man_City	2	2
Southampton	Leicester	2	0
West_Ham	Aston_Villa	0	0
Sunderland	Everton	1	1
Swansea	Arsenal	2	1
Tottenham	Stoke	1	2
West_Brom	Newcastle	0	2
Arsenal	Man_United	1	2
Chelsea	West_Brom	2	0
Everton	West_Ham	2	1
Leicester	Sunderland	0	0
Man_City	Swansea	2	1
Newcastle	QPR	1	0
Stoke	Burnley	1	2
Crystal_Palace	Liverpool	3	1
Hull	Tottenham	1	2
Aston_Villa	Southampton	1	1
Burnley	Aston_Villa	1	1
Liverpool	Stoke	1	0
Man_United	Hull	3	0
QPR	Leicester	3	2
Sunderland	Chelsea	0	0
Swansea	Crystal_Palace	1	1
West_Brom	Arsenal	0	1
West_Ham	Newcastle	1	0
Southampton	Man_City	0	3
Tottenham	Everton	2	1
Burnley	Newcastle	1	1
Crystal_Palace	Aston_Villa	0	1
Leicester	Liverpool	1	3
Man_United	Stoke	2	1
Swansea	QPR	2	0
West_Brom	West_Ham	1	2
Arsenal	Southampton	1	0
Chelsea	Tottenham	3	0
Everton	Hull	1	1
Sunderland	Man_City	1	4
Hull	West_Brom	0	0
Liverpool	Sunderland	0	0
Man_City	Everton	1	0
Newcastle	Chelsea	2	1
QPR	Burnley	2	0
Stoke	Arsenal	3	2
Tottenham	Crystal_Palace	0	0
Aston_Villa	Leicester	2	1
West_Ham	Swansea	3	1
Southampton	Man_United	1	2
Arsenal	Newcastle	4	1
Burnley	Southampton	1	0
Chelsea	Hull	2	0
Crystal_Palace	Stoke	1	1
Leicester	Man_City	0	1
Sunderland	West_Ham	1	1
West_Brom	Aston_Villa	1	0
Man_United	Liverpool	3	0
Swansea	Tottenham	1	2
Everton	QPR	3	1
Aston_Villa	Man_United	1	1
Hull	Swansea	0	1
Man_City	Crystal_Palace	3	0
QPR	West_Brom	3	2
Southampton	Everton	3	0
Tottenham	Burnley	2	1
West_Ham	Leicester	2	0
Liverpool	Arsenal	2	2
Newcastle	Sunderland	0	1
Stoke	Chelsea	0	2
Arsenal	QPR	2	1
Burnley	Liverpool	0	1
Chelsea	West_Ham	2	0
Crystal_Palace	Southampton	1	3
Everton	Stoke	0	1
Leicester	Tottenham	1	2
Man_United	Newcastle	3	1
Sunderland	Hull	1	3
Swansea	Aston_Villa	1	0
West_Brom	Man_City	1	3
Aston_Villa	Sunderland	0	0
Hull	Leicester	0	1
Man_City	Burnley	2	2
Newcastle	Everton	3	2
QPR	Crystal_Palace	0	0
Southampton	Chelsea	1	1
Stoke	West_Brom	2	0
Tottenham	Man_United	0	0
West_Ham	Arsenal	1	2
Liverpool	Swansea	4	1
Aston_Villa	Crystal_Palace	0	0
Hull	Everton	2	0
Liverpool	Leicester	2	2
Man_City	Sunderland	3	2
Newcastle	Burnley	3	3
QPR	Swansea	1	1
Southampton	Arsenal	2	0
Stoke	Man_United	1	1
Tottenham	Chelsea	5	3
West_Ham	West_Brom	1	1
Burnley	QPR	2	1
Chelsea	Newcastle	2	0
Crystal_Palace	Tottenham	2	1
Everton	Man_City	1	1
Leicester	Aston_Villa	1	0
Sunderland	Liverpool	0	1
Swansea	West_Ham	1	1
West_Brom	Hull	1	0
Arsenal	Stoke	3	0
Man_United	Southampton	0	1
Aston_Villa	Liverpool	0	2
Burnley	Crystal_Palace	2	3
Leicester	Stoke	0	1
Newcastle	Southampton	1	2
QPR	Man_United	0	2
Swansea	Chelsea	0	5
Tottenham	Sunderland	2	1
Man_City	Arsenal	0	2
West_Ham	Hull	3	0
Everton	West_Brom	0	0
Chelsea	Man_City	1	1
Crystal_Palace	Everton	0	1
Hull	Newcastle	0	3
Liverpool	West_Ham	2	0
Man_United	Leicester	3	1
Stoke	QPR	3	1
Sunderland	Burnley	2	0
West_Brom	Tottenham	0	3
Arsenal	Aston_Villa	5	0
Southampton	Swansea	0	1
Aston_Villa	Chelsea	1	2
Everton	Liverpool	0	0
Leicester	Crystal_Palace	0	1
Man_City	Hull	1	1
QPR	Southampton	0	1
Swansea	Sunderland	1	1
Tottenham	Arsenal	2	1
Burnley	West_Brom	2	2
Newcastle	Stoke	1	1
West_Ham	Man_United	1	1
Arsenal	Leicester	2	1
Hull	Aston_Villa	2	0
Liverpool	Tottenham	3	2
Sunderland	QPR	0	2
Chelsea	Everton	1	0
Crystal_Palace	Newcastle	1	1
Man_United	Burnley	3	1
Southampton	West_Ham	0	0
Stoke	Man_City	1	4
West_Brom	Swansea	2	0
Aston_Villa	Stoke	1	2
Chelsea	Burnley	1	1
Crystal_Palace	Arsenal	1	2
Hull	QPR	2	1
Man_City	Newcastle	5	0
Sunderland	West_Brom	0	0
Swansea	Man_United	2	1
Everton	Leicester	2	2
Southampton	Liverpool	0	2
Tottenham	West_Ham	2	2
Burnley	Swansea	0	1
Man_United	Sunderland	2	0
Newcastle	Aston_Villa	1	0
Stoke	Hull	1	0
West_Brom	Southampton	1	0
West_Ham	Crystal_Palace	1	3
Arsenal	Everton	2	0
Liverpool	Man_City	2	1
Aston_Villa	West_Brom	2	1
Hull	Sunderland	1	1
Southampton	Crystal_Palace	1	0
Liverpool	Burnley	2	0
Man_City	Leicester	2	0
Newcastle	Man_United	0	1
QPR	Arsenal	1	2
Stoke	Everton	2	0
Tottenham	Swansea	3	2
West_Ham	Chelsea	0	1
QPR	Tottenham	1	2
Arsenal	West_Ham	3	0
Burnley	Man_City	1	0
Crystal_Palace	QPR	3	1
Leicester	Hull	0	0
Sunderland	Aston_Villa	0	4
West_Brom	Stoke	1	0
Chelsea	Southampton	1	1
Everton	Newcastle	3	0
Man_United	Tottenham	3	0
Swansea	Liverpool	0	1
Aston_Villa	Swansea	0	1
Man_City	West_Brom	3	0
Newcastle	Arsenal	1	2
Southampton	Burnley	2	0
Stoke	Crystal_Palace	1	2
Tottenham	Leicester	4	3
West_Ham	Sunderland	1	0
Hull	Chelsea	2	3
Liverpool	Man_United	1	2
QPR	Everton	1	2
Arsenal	Liverpool	4	1
Chelsea	Stoke	2	1
Everton	Southampton	1	0
Leicester	West_Ham	2	1
Man_United	Aston_Villa	3	1
Swansea	Hull	3	1
West_Brom	QPR	1	4
Burnley	Tottenham	0	0
Sunderland	Newcastle	1	0
Crystal_Palace	Man_City	2	1
Aston_Villa	QPR	3	3
Burnley	Arsenal	0	1
Southampton	Hull	2	0
Sunderland	Crystal_Palace	1	4
Swansea	Everton	1	1
Tottenham	Aston_Villa	0	1
West_Brom	Leicester	2	3
West_Ham	Stoke	1	1
Man_United	Man_City	4	2
QPR	Chelsea	0	1
Liverpool	Newcastle	2	0
Chelsea	Man_United	1	0
Crystal_Palace	West_Brom	0	2
Everton	Burnley	1	0
Leicester	Swansea	2	0
Stoke	Southampton	2	1
Man_City	West_Ham	2	0
Newcastle	Tottenham	1	3
Burnley	Leicester	0	1
Crystal_Palace	Hull	0	2
Man_City	Aston_Villa	3	2
Newcastle	Swansea	2	3
QPR	West_Ham	0	0
Southampton	Tottenham	2	2
Stoke	Sunderland	1	1
West_Brom	Liverpool	0	0
Arsenal	Chelsea	0	0
Everton	Man_United	3	0
Hull	Liverpool	1	0
Leicester	Chelsea	1	3
Aston_Villa	Everton	3	2
Leicester	Newcastle	3	0
Liverpool	QPR	2	1
Man_United	West_Brom	0	1
Sunderland	Southampton	2	1
Swansea	Stoke	2	0
West_Ham	Burnley	1	0
Chelsea	Crystal_Palace	1	0
Tottenham	Man_City	0	1
Hull	Arsenal	1	3
Aston_Villa	West_Ham	1	0
Crystal_Palace	Man_United	1	2
Everton	Sunderland	0	2
Hull	Burnley	0	1
Leicester	Southampton	2	0
Newcastle	West_Brom	1	1
Stoke	Tottenham	3	0
Chelsea	Liverpool	1	1
Man_City	QPR	6	0
Arsenal	Swansea	0	1
Burnley	Stoke	0	0
Liverpool	Crystal_Palace	1	3
QPR	Newcastle	2	1
Southampton	Aston_Villa	6	1
Sunderland	Leicester	0	0
Tottenham	Hull	2	0
